1,Nichiyu,RFTL7-B45,92190015,4.5,rack fork,1992,none,,unknown
2,Komatsu,FB09-3,51556,3,,March 1999,none,driving Ã—,"200,000"
3,Toyota,7FBRK9,10630,3.7,,September 2004,8627,,"270,000"
4,Toyota,7FBR10,12958,3,,May 2006,3641,Battery 2012,"380,000"
5,Sumitomo,61-FBR10SE,R1G-19533,4.33,,September 2011,4156,,"230,000"
6,Nichiyu,FBRM12-H80,124E00161,5.5,full free triple,May 2015,15041,external charger,"380,000"
7,Toyota,7FBR14,11594,3,,May 2010,47162,Battery 2018,"370,000"
8,Toyota,7FBH14,26128,3,Fork shift (chain type),July 2004,20409,external charger,"600,000"
9,Toyota,7FB15,46813,3,,July 2009,6440,,"800,000"
10,Toyota,7FBR15,10073,3,,February 2001,36620,,"400,000"
11,Toyota,8FBR15,17055,3,,June 2019,7598,,"850,000"
12,Toyota,7FBR15,15870,3,,February 2004,40307,,"400,000"
13,Toyota,7FBR15,30615,3,,August 2009,3769,Battery 2012,"430,000"
14,Toyota,7FBR15,35363,3,,June 2011,11405,,"450,000"
15,Toyota,7FBH18,54551,3,,August 2011,5795,Battery 2013,"830,000"
16,Toyota,7FBRS18,50117,3,,January 2013,3850,bad appearance,unknwon
17,Toyota,8FB18,16385,3,,June 2018,3101,external charger,unknwon
18,Toyota,7FBH20,51381,3,,October 2013,13851,,"1,150,000"
19,Toyota,7FBH20,55836,3,,May 2015,10324,,"1,200,000"
20,Nissan,L8ZQP02L20,300413,3,,July 2002,13536,,"380,000"
21,Toyota,7FBH25,52689,3,Fork shift (1 lever),April 2014,10832,Battery 2016 (545Ah),"1,250,000"
